Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Anil;2;1;0;65;900.0;325.0;25.0
Barra da Tijuca;2;1;1;66;1650.0;796.0;98.0
Freguesia (Jacarepaguá);2;1;1;64;1800.0;718.0;85.0
Barra da Tijuca;2;1;0;62;1200.0;320.0;0.0
Tijuca;2;0;0;50;1000.0;300.0;0.0
Jacarepaguá;2;1;1;65;1400.0;598.0;63.0
Jardim América;2;0;0;45;1000.0;100.0;0.0
Freguesia (Jacarepaguá);2;0;0;50;1100.0;300.0;135.0
Del Castilho;2;1;1;52;1600.0;390.0;0.0
Glória;2;0;0;52;1900.0;560.0;0.0
Lapa;2;1;0;65;2200.0;640.0;72.0
Andaraí;2;0;0;56;1200.0;727.0;46.0
Tijuca;2;1;0;67;1200.0;450.0;97.0
Curicica;2;1;1;60;1200.0;450.0;120.0
Cachambi;2;1;0;50;1100.0;430.0;14.0
Jacarepaguá;2;1;0;62;1100.0;543.0;17.0
Campo Grande;2;1;0;55;400.0;200.0;0.0
Maracanã;3;0;0;67;1450.0;650.0;48.0
Vila da Penha;2;1;0;60;1100.0;510.0;0.0
Freguesia (Jacarepaguá);2;1;1;55;1500.0;590.0;0.0
Del Castilho;3;1;1;60;1300.0;562.0;30.0
Realengo;2;1;0;60;1100.0;270.0;0.0
Vila Isabel;2;0;0;45;1200.0;284.0;21.0
Penha;2;1;0;60;1000.0;344.0;0.0
Engenho Novo;2;1;0;63;1200.0;467.0;36.0
Tijuca;2;0;0;68;1700.0;700.0;0.0
Maracanã;2;0;0;60;2000.0;810.0;49.0
Freguesia (Jacarepaguá);2;1;0;61;1000.0;405.0;38.0
Campo Grande;2;1;1;65;900.0;400.0;0.0
São Francisco Xavier;2;1;1;60;1600.0;570.0;33.0
Andaraí;2;0;0;63;1400.0;500.0;0.0
Anil;2;1;0;42;1000.0;402.0;0.0
Flamengo;2;1;0;57;2800.0;832.0;98.0
Barra da Tijuca;2;1;1;67;1250.0;833.0;155.0
Campo Grande;2;1;0;45;590.0;305.0;0.0
Campo Grande;2;0;0;55;1000.0;50.0;0.0
Botafogo;2;1;0;63;2400.0;1057.0;1245.0
Senador Vasconcelos;2;1;1;60;850.0;180.0;0.0
Barra da Tijuca;2;1;1;60;2500.0;1000.0;180.0
Recreio dos Bandeirantes;2;1;1;69;1840.0;504.0;191.0
Tijuca;2;0;0;66;1600.0;535.0;82.0
Praça Seca;3;2;0;48;500.0;295.0;0.0
Jacarepaguá;2;1;0;50;1300.0;500.0;200.0
Engenho de Dentro;2;1;0;50;1100.0;480.0;0.0
São Francisco Xavier;2;1;0;48;1380.0;408.0;37.0
Curicica;2;1;0;46;1000.0;503.0;13.0
Bangu;2;1;0;60;1000.0;500.0;0.0
Campo Grande;2;1;0;60;600.0;415.0;0.0
Freguesia (Jacarepaguá);2;1;0;57;1300.0;450.0;70.0
Barra da Tijuca;2;1;1;63;2800.0;1030.0;165.0
Campo Grande;2;1;0;48;900.0;340.0;0.0
Recreio dos Bandeirantes;2;1;1;69;1700.0;650.0;1300.0
Barra da Tijuca;2;1;1;68;2300.0;960.0;60.0
Engenho Novo;3;1;0;60;1100.0;650.0;20.0
Tijuca;2;1;1;69;1800.0;620.0;65.0
Méier;2;1;0;60;1400.0;633.0;139.0
Barra da Tijuca;2;1;1;68;2300.0;800.0;218.0
Jacarepaguá;2;1;1;65;950.0;529.0;75.0
Santa Cruz;2;1;0;50;400.0;100.0;0.0
Barra da Tijuca;2;1;1;68;2600.0;1091.0;270.0
Tijuca;2;0;0;60;1700.0;535.0;0.0
Campo Grande;2;1;0;60;1100.0;480.0;0.0
Jacarepaguá;2;1;1;60;1300.0;237.0;0.0
Rocha Miranda;2;1;0;60;1200.0;205.0;0.0
Curicica;3;1;1;63;1650.0;550.0;80.0
Barra da Tijuca;2;1;0;52;1200.0;700.0;0.0
Engenho de Dentro;3;1;0;63;980.0;650.0;0.0
Santíssimo;2;1;0;54;800.0;220.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1600.0;600.0;120.0
Bonsucesso;2;0;0;60;900.0;110.0;33.0
Recreio dos Bandeirantes;2;1;1;66;1400.0;570.0;130.0
Vila Isabel;2;1;0;50;1500.0;610.0;0.0
Lins de Vasconcelos;2;0;0;46;950.0;507.0;151.0
Todos os Santos;2;0;0;37;800.0;270.0;16.0
Taquara;2;2;0;65;1000.0;220.0;14.0
Vila Isabel;2;0;0;62;1100.0;450.0;47.0
Cachambi;2;1;0;66;900.0;604.0;0.0
Senador Vasconcelos;2;1;1;60;850.0;180.0;0.0
Catete;2;1;0;50;2300.0;610.0;0.0
Copacabana;2;0;1;60;2800.0;550.0;50.0
Flamengo;2;0;0;60;2500.0;760.0;80.0
Lins de Vasconcelos;2;1;0;54;1100.0;652.0;0.0
Vila Isabel;2;1;0;40;1600.0;780.0;51.0
Barra da Tijuca;2;1;1;65;1600.0;737.0;78.0
São Cristóvão;2;1;1;55;1300.0;560.0;34.0
Engenho de Dentro;2;1;0;55;1100.0;270.0;17.0
Jacarepaguá;2;1;0;60;850.0;536.0;17.0
Freguesia (Jacarepaguá);2;0;0;48;700.0;317.0;14.0
Recreio dos Bandeirantes;2;1;1;67;1750.0;750.0;0.0
Itanhangá;2;0;0;58;900.0;547.0;34.0
Tomás Coelho;2;0;0;55;650.0;345.0;0.0
Praça Seca;3;1;0;62;730.0;300.0;16.0
Bonsucesso;2;1;0;53;1200.0;200.0;0.0
Méier;2;1;1;53;1500.0;785.0;80.0
Itanhangá;2;1;0;52;1300.0;500.0;0.0
Anil;2;1;0;46;1100.0;400.0;13.0
Freguesia (Jacarepaguá);2;1;1;56;1400.0;560.0;76.0
Copacabana;2;1;0;60;2600.0;1480.0;0.0
Copacabana;2;0;0;62;1600.0;1200.0;30.0
Botafogo;2;1;0;66;2800.0;732.0;152.0
Gávea;2;1;0;63;2900.0;690.0;159.0
Campo Grande;2;1;0;55;800.0;550.0;0.0
Lins de Vasconcelos;2;1;0;60;1000.0;546.0;13.0
Cachambi;2;1;0;54;1500.0;480.0;260.0
Penha;2;1;0;56;800.0;448.0;28.0
Engenho Novo;2;0;0;60;800.0;620.0;12.0
Cascadura;2;1;0;55;850.0;540.0;0.0
Lins de Vasconcelos;2;1;0;50;800.0;250.0;35.0
Vargem Pequena;2;0;0;53;1100.0;365.0;27.0
São Cristóvão;2;1;1;66;1900.0;649.0;55.0
Campo Grande;2;1;0;51;600.0;325.0;0.0
Rio Comprido;2;1;1;59;1500.0;618.0;15.0
Tijuca;2;0;0;65;1800.0;360.0;202.0
Barra da Tijuca;2;1;1;69;2050.0;980.0;950.0
Méier;2;0;0;64;950.0;200.0;0.0
Ramos;2;1;0;67;900.0;470.0;0.0
Grajaú;2;0;0;65;1200.0;480.0;26.0
Freguesia (Jacarepaguá);2;1;1;60;1400.0;622.0;71.0
Vila Isabel;2;0;0;60;1400.0;360.0;19.0
Jacarepaguá;2;0;0;50;1000.0;520.0;50.0
Vila Isabel;2;1;0;54;1300.0;630.0;21.0
Freguesia (Jacarepaguá);2;1;0;65;800.0;673.0;100.0
Vila Isabel;2;1;0;64;1500.0;725.0;62.0
Engenho de Dentro;3;1;1;67;1500.0;686.0;145.0
Olaria;2;1;0;58;660.0;450.0;0.0
Gávea;2;1;0;61;1900.0;880.0;136.0
Del Castilho;2;1;1;52;1600.0;499.0;0.0
Taquara;2;0;0;68;900.0;130.0;14.0
Campo Grande;2;0;0;60;650.0;330.0;0.0
Barra da Tijuca;2;1;0;51;1600.0;480.0;39.0
Cachambi;2;1;1;68;999.0;451.0;50.0
Freguesia (Jacarepaguá);2;0;0;46;1200.0;465.0;14.0
Tijuca;2;1;0;64;1700.0;939.0;23.0
Botafogo;2;1;0;60;2200.0;880.0;0.0
Flamengo;2;1;1;69;2700.0;920.0;75.0
Grajaú;2;1;0;54;1600.0;660.0;0.0
Tijuca;2;0;0;64;1000.0;470.0;70.0
Maracanã;2;0;0;60;1700.0;200.0;46.0
Copacabana;2;0;0;67;2500.0;535.0;144.0
Jacarepaguá;2;1;0;50;1200.0;447.0;135.0
Jardim Botânico;2;0;0;68;2900.0;330.0;81.0
Recreio dos Bandeirantes;2;1;1;65;1600.0;550.0;0.0
Centro;2;0;0;50;1000.0;450.0;50.0
Pilares;3;0;0;65;1200.0;180.0;16.0
Madureira;2;2;0;60;1500.0;455.0;0.0
Vila Isabel;2;1;0;69;2200.0;518.0;101.0
Curicica;2;1;1;60;1200.0;680.0;80.0
Praça da Bandeira;3;0;0;68;1600.0;550.0;48.0
Parada de Lucas;2;0;0;58;900.0;300.0;0.0
Pilares;2;0;0;50;850.0;238.0;0.0
Lins de Vasconcelos;2;1;0;60;900.0;300.0;10.0
Praça Seca;3;1;0;48;850.0;293.0;13.0
Vila Isabel;2;0;0;55;1400.0;570.0;24.0
Tijuca;2;0;0;68;1800.0;400.0;24.0
Jardim Sulacap;2;0;0;56;960.0;240.0;0.0
Flamengo;2;1;0;65;1900.0;700.0;100.0
Lapa;2;0;0;60;1500.0;538.0;500.0
Urca;2;0;0;64;2200.0;715.0;126.0
Praça Seca;2;1;0;57;750.0;488.0;14.0
Recreio dos Bandeirantes;2;1;0;63;1600.0;450.0;85.0
Grajaú;2;0;0;63;1400.0;180.0;25.0
Andaraí;3;1;0;59;1300.0;519.0;0.0
Lagoa;2;0;0;55;2200.0;880.0;125.0
Vila Isabel;2;0;0;65;1000.0;436.0;21.0
Tijuca;2;1;0;64;1800.0;980.0;49.0
Taquara;2;0;0;52;900.0;528.0;0.0
Vila Isabel;2;1;0;65;2000.0;494.0;69.0
Pechincha;2;1;0;50;1000.0;385.0;13.0
Vila Isabel;2;1;0;60;1400.0;349.0;46.0
Copacabana;2;0;0;63;2000.0;687.0;67.0
Bonsucesso;2;0;0;49;980.0;350.0;0.0
Vila Kosmos;2;0;0;65;1000.0;250.0;0.0
Taquara;2;1;0;50;1200.0;300.0;13.0
Ipanema;2;1;0;68;2700.0;750.0;86.0
Jardim Sulacap;2;1;0;56;830.0;270.0;0.0
Engenho de Dentro;2;0;0;65;800.0;285.0;0.0
Irajá;2;0;0;65;1000.0;260.0;0.0
Oswaldo Cruz;2;0;0;55;930.0;140.0;0.0
Freguesia (Jacarepaguá);2;0;0;58;1100.0;440.0;39.0
Copacabana;2;1;0;67;2300.0;757.0;152.0
Pechincha;2;1;1;69;1350.0;707.0;73.0
Botafogo;2;0;0;62;2800.0;790.0;0.0
Jacarepaguá;2;1;1;60;1450.0;500.0;0.0
Barra da Tijuca;2;1;1;63;1600.0;856.0;111.0
Jacarepaguá;2;1;1;55;1500.0;450.0;50.0
Tijuca;2;0;0;33;1500.0;641.0;25.0
Inhaúma;2;1;0;48;800.0;370.0;0.0
Bonsucesso;2;0;0;60;650.0;350.0;0.0
Engenho Novo;2;0;0;68;1200.0;310.0;48.0
Barra da Tijuca;2;1;1;65;2500.0;665.0;0.0
Botafogo;2;1;1;60;2500.0;1500.0;200.0
Centro;2;0;0;56;1800.0;544.0;51.0
Campo Grande;2;1;0;50;780.0;120.0;0.0
Recreio dos Bandeirantes;2;1;1;60;2100.0;1200.0;150.0
Bento Ribeiro;2;2;0;69;1500.0;450.0;0.0
Taquara;2;1;0;52;1100.0;672.0;0.0
Vila Isabel;2;0;0;69;1400.0;100.0;47.0
Engenho Novo;2;0;0;60;900.0;400.0;170.0
Campo Grande;2;0;0;55;900.0;350.0;0.0
Anil;2;1;0;56;1200.0;348.0;12.0
Freguesia (Jacarepaguá);2;1;0;60;1000.0;575.0;65.0
Cachambi;2;1;0;65;800.0;410.0;0.0
Jacarepaguá;2;1;0;41;1100.0;550.0;0.0
Cachambi;2;1;0;59;1300.0;655.0;36.0
Estácio;2;0;0;63;1200.0;624.0;0.0
São Francisco Xavier;2;1;0;55;1300.0;439.0;14.0
Pechincha;2;1;0;50;1100.0;575.0;36.0
Realengo;2;1;0;52;700.0;390.0;0.0
Olaria;2;0;0;55;750.0;90.0;0.0
Taquara;3;1;0;55;900.0;330.0;15.0
Vila Valqueire;2;0;0;60;800.0;330.0;14.0
Tijuca;2;0;0;60;1200.0;350.0;0.0
Méier;2;1;0;65;1200.0;465.0;0.0
Tomás Coelho;2;1;0;50;650.0;228.0;0.0
Centro;2;0;0;60;1500.0;500.0;130.0
Ilha do Governador;2;1;0;48;1100.0;395.0;24.0
Maracanã;2;0;0;60;950.0;620.0;20.0
Guadalupe;2;1;0;40;600.0;293.0;53.0
Jardim Botânico;3;0;0;67;2500.0;686.0;0.0
Méier;2;0;0;46;800.0;507.0;13.0
Ramos;2;1;0;54;1100.0;230.0;0.0
Jardim Botânico;2;0;0;50;2100.0;812.0;0.0
Vila Isabel;2;1;0;65;1800.0;750.0;0.0
Campo Grande;2;1;0;47;600.0;330.0;0.0
Maracanã;2;0;0;64;1300.0;460.0;0.0
Jacarepaguá;2;0;0;55;1200.0;530.0;0.0
Campo Grande;2;1;0;45;750.0;75.0;0.0
Maracanã;2;0;0;58;1500.0;550.0;0.0
Taquara;2;0;0;55;900.0;298.0;13.0
Pilares;2;1;0;55;1000.0;209.0;0.0
Méier;2;1;0;46;900.0;420.0;13.0
Barra da Tijuca;2;1;1;60;2300.0;1019.0;137.0
Barra da Tijuca;2;1;0;52;1200.0;470.0;200.0
Tijuca;2;1;1;60;2200.0;694.0;47.0
Quintino Bocaiúva;2;1;0;55;600.0;360.0;0.0
Copacabana;2;1;0;61;2500.0;877.0;132.0
Laranjeiras;2;1;2;63;2700.0;934.0;0.0
Méier;2;0;0;59;1100.0;681.0;0.0
Copacabana;2;0;0;64;2200.0;780.0;144.0
Vila da Penha;2;0;0;50;900.0;200.0;0.0
Campo Grande;3;1;0;65;700.0;330.0;0.0
Vila Isabel;2;0;0;65;1650.0;200.0;52.0
Pechincha;2;0;0;53;1200.0;520.0;60.0
Méier;2;0;0;49;1200.0;532.0;35.0
São Cristóvão;2;1;0;65;1100.0;379.0;0.0
Anil;2;1;1;55;1500.0;550.0;0.0
Freguesia (Jacarepaguá);2;1;1;60;1200.0;450.0;10.0
São Cristóvão;2;1;0;53;900.0;689.0;0.0
Barra da Tijuca;2;2;1;67;1950.0;740.0;60.0
Freguesia (Jacarepaguá);2;0;0;60;900.0;315.0;0.0
Vila da Penha;2;1;0;65;900.0;190.0;0.0
Jacarepaguá;2;1;0;44;700.0;272.0;13.0
Tijuca;2;1;0;69;1400.0;655.0;0.0
Copacabana;2;0;0;56;2500.0;550.0;131.0
Ramos;2;1;0;64;1200.0;494.0;0.0
Tijuca;2;1;0;66;1300.0;583.0;0.0
Camorim;2;1;1;50;1100.0;450.0;0.0
Jacarepaguá;2;1;0;50;1200.0;490.0;30.0
Vila Isabel;2;0;0;52;1500.0;250.0;0.0
Vila da Penha;2;0;0;49;1000.0;285.0;0.0
Jacarepaguá;2;1;0;47;1000.0;380.0;481.0
Leblon;2;0;0;50;2800.0;770.0;81.0
Portuguesa;2;1;0;58;1200.0;340.0;260.0
Jardim Guanabara;2;1;0;65;1600.0;50500.0;97.0
Tijuca;2;1;0;65;2000.0;592.0;0.0
Méier;2;1;0;52;1000.0;300.0;0.0
Camorim;3;1;0;58;1000.0;402.0;34.0
Penha;2;1;0;60;750.0;280.0;0.0
Vila Isabel;2;1;1;69;1500.0;661.0;109.0
Praça Seca;3;0;0;48;800.0;300.0;0.0
Campo Grande;2;1;0;65;900.0;308.0;0.0
Engenho de Dentro;2;1;0;50;1100.0;500.0;150.0
Engenho Novo;3;0;0;55;800.0;785.0;14.0
São Francisco Xavier;2;1;0;53;1600.0;427.0;67.0
Cachambi;3;0;0;65;1000.0;80.0;0.0
Andaraí;2;0;0;60;1400.0;500.0;47.0
Madureira;2;1;0;60;1350.0;700.0;13.0
Leblon;2;0;0;65;2500.0;868.0;0.0
Humaitá;2;0;0;67;2200.0;567.0;83.0
Taquara;2;1;1;66;1100.0;452.0;65.0
Freguesia (Jacarepaguá);2;1;0;56;1100.0;350.0;385.0
Campo Grande;2;1;0;60;750.0;200.0;0.0
Campo Grande;2;1;0;50;550.0;105.0;0.0
Rio Comprido;2;1;0;53;1600.0;764.0;33.0
Engenho de Dentro;2;1;0;55;1500.0;450.0;120.0
Tijuca;2;1;0;65;1500.0;680.0;0.0
Rocha;2;1;0;58;800.0;600.0;0.0
Barra da Tijuca;2;1;1;65;1700.0;1241.0;204.0
Vargem Pequena;3;0;0;53;1900.0;392.0;0.0
Taquara;2;1;0;51;890.0;390.0;13.0
Barra da Tijuca;2;1;1;65;1300.0;1000.0;0.0
Botafogo;2;0;0;65;1900.0;451.0;0.0
Tijuca;2;1;0;62;1990.0;556.0;50.0
Campo Grande;3;1;0;60;1200.0;735.0;0.0
Praça Seca;3;1;0;61;1000.0;450.0;17.0
Madureira;2;1;0;65;600.0;400.0;25.0
Penha;2;0;0;55;1250.0;150.0;0.0
Barra da Tijuca;2;1;1;69;2300.0;950.0;98.0
Méier;2;1;0;55;700.0;480.0;30.0
Recreio dos Bandeirantes;2;1;1;63;1700.0;837.0;136.0
Tijuca;2;1;0;64;1250.0;695.0;0.0
Campo Grande;2;1;1;44;550.0;180.0;0.0
Portuguesa;2;0;0;60;1100.0;350.0;250.0
Campo Grande;2;0;0;60;950.0;350.0;0.0
Encantado;2;0;0;45;950.0;180.0;36.0
Camorim;3;1;0;60;1050.0;350.0;0.0
Vila Isabel;2;0;0;47;950.0;545.0;20.0
Vila Isabel;2;0;0;58;1700.0;300.0;25.0
Irajá;2;1;0;45;750.0;220.0;0.0
Cidade Nova;2;1;0;53;1300.0;505.0;34.0
Barra da Tijuca;2;2;1;65;1500.0;973.0;136.0
Cascadura;2;0;0;60;900.0;150.0;0.0
Engenho Novo;2;1;1;68;1100.0;498.0;0.0
Copacabana;2;0;1;60;2500.0;650.0;750.0
Paciência;2;0;0;55;540.0;60.0;0.0
Tijuca;2;0;0;60;2000.0;450.0;51.0
Vila Isabel;2;2;0;61;1300.0;650.0;0.0
Campo Grande;2;1;0;47;800.0;200.0;0.0
Méier;2;1;1;63;1000.0;815.0;66.0
Méier;2;1;0;60;1400.0;550.0;0.0
Vila Isabel;2;1;0;69;1600.0;770.0;660.0
Pechincha;2;1;1;64;1150.0;545.0;91.0
Leblon;2;0;0;49;2800.0;700.0;120.0
Tijuca;2;0;0;60;1800.0;470.0;102.0
Engenho de Dentro;2;0;0;56;1100.0;105.0;0.0
Tijuca;2;0;0;65;1600.0;600.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1700.0;650.0;0.0
Campo Grande;2;1;1;60;1400.0;580.0;0.0
Copacabana;2;0;0;50;1650.0;470.0;97.0
Praia da Bandeira;3;1;0;55;1200.0;300.0;202.0
Ipanema;2;0;0;65;2700.0;400.0;145.0
Cachambi;2;1;0;55;850.0;380.0;13.0
Tijuca;2;1;0;54;1700.0;793.0;50.0
Taquara;2;1;0;57;900.0;386.0;0.0
Jacarepaguá;2;1;1;45;900.0;510.0;14.0
Leblon;2;1;0;62;2900.0;800.0;123.0
Engenho Novo;2;0;0;60;700.0;450.0;14.0
Taquara;2;1;0;41;800.0;230.0;162.0
Tijuca;2;0;0;65;950.0;365.0;25.0
Campinho;3;1;0;64;1000.0;280.0;180.0
Tijuca;2;0;0;67;1300.0;357.0;20.0
Tijuca;2;0;0;57;1600.0;567.0;0.0
Copacabana;2;1;0;68;2900.0;1000.0;170.0
Botafogo;2;0;0;64;2400.0;613.0;0.0
Botafogo;2;0;0;60;2200.0;760.0;76.0
Irajá;2;1;0;65;1100.0;260.0;0.0
Méier;2;0;0;60;1000.0;340.0;0.0
Anil;2;1;0;47;1000.0;400.0;36.0
Catete;2;0;0;51;2200.0;336.0;0.0
Cachambi;2;1;1;65;1400.0;800.0;126.0
Santa Teresa;2;1;0;69;2400.0;770.0;122.0
Praça da Bandeira;2;0;0;50;2000.0;461.0;0.0
Cascadura;2;1;1;60;1200.0;119.0;0.0
Vila Isabel;2;1;0;62;1600.0;745.0;0.0
Tijuca;2;0;0;60;1550.0;650.0;90.0
Campo Grande;2;0;0;60;1000.0;300.0;0.0
Copacabana;2;0;0;56;2600.0;760.0;80.0
Gardênia Azul;2;1;0;50;1700.0;470.0;0.0
Barra da Tijuca;2;1;1;65;1800.0;1323.0;233.0
Taquara;2;1;1;56;1500.0;550.0;51.0
Vila Isabel;2;1;0;60;1050.0;647.0;20.0
Botafogo;2;1;0;60;2400.0;630.0;130.0
Cachambi;2;1;1;54;1200.0;500.0;0.0
Tijuca;2;1;0;64;1700.0;939.0;23.0
Campo Grande;2;1;1;60;1175.0;460.0;0.0
Irajá;2;0;0;44;650.0;110.0;0.0
Braz de Pina;2;0;0;40;800.0;160.0;0.0
Méier;2;1;0;63;1100.0;529.0;34.0
Copacabana;2;0;0;65;2200.0;829.0;152.0
Cachambi;2;1;0;45;1100.0;381.0;13.0
Maracanã;2;1;1;50;1500.0;520.0;0.0
Cachambi;2;1;0;65;1200.0;450.0;14.0
Tijuca;3;1;0;56;2100.0;520.0;0.0
Del Castilho;3;1;0;59;1300.0;100.0;26.0
Catete;2;1;1;65;2500.0;1050.0;68.0
Laranjeiras;2;1;0;60;1800.0;1000.0;76.0
Flamengo;3;0;0;64;2750.0;600.0;0.0
Méier;2;1;0;60;1000.0;480.0;12.0
Anil;2;1;0;55;1100.0;439.0;50.0
Jacarepaguá;2;1;1;65;1100.0;550.0;0.0
Freguesia (Jacarepaguá);2;1;0;62;1000.0;575.0;62.0
Praça Seca;2;1;0;67;1000.0;477.0;36.0
Abolição;2;1;0;65;1300.0;280.0;0.0
Barra da Tijuca;2;1;1;66;2290.0;917.0;0.0
Vila da Penha;2;0;0;52;650.0;440.0;0.0
Vila da Penha;2;1;0;60;1300.0;300.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0
Irajá;2;1;0;55;1300.0;350.0;0.0
São Cristóvão;2;1;1;56;1400.0;512.0;50.0
Barra da Tijuca;2;1;1;65;2059.0;1000.0;0.0
Copacabana;2;0;0;60;2300.0;525.0;26.0
Praça Seca;2;1;0;48;650.0;277.0;13.0
Freguesia (Jacarepaguá);2;1;0;60;1400.0;70.0;600.0
Jacarepaguá;2;1;1;66;1400.0;350.0;0.0
Anil;2;1;0;49;950.0;490.0;14.0
Méier;2;1;0;60;970.0;600.0;35.0
Maria da Graça;2;0;0;60;900.0;300.0;0.0
Copacabana;2;0;0;64;2000.0;880.0;153.0
Anil;2;1;0;50;850.0;450.0;0.0
Tijuca;3;0;0;61;1800.0;467.0;62.0
Irajá;2;0;0;43;1000.0;120.0;0.0
Campo Grande;2;1;0;50;750.0;75.0;0.0
Flamengo;2;0;0;68;1960.0;720.0;100.0
Botafogo;2;0;0;62;2200.0;779.0;120.0
Taquara;2;1;0;60;900.0;348.0;14.0
Tijuca;2;0;0;65;1500.0;500.0;0.0
Jardim Sulacap;2;2;0;60;1500.0;455.0;0.0
Taquara;2;1;0;52;850.0;528.0;14.0
Jacarepaguá;2;1;0;55;1300.0;480.0;0.0
Flamengo;2;0;0;65;2200.0;535.0;0.0
Catete;2;0;0;65;2400.0;573.0;105.0
Parada de Lucas;2;1;0;55;850.0;302.0;0.0
Tijuca;2;0;0;65;1600.0;450.0;70.0
Méier;2;1;0;68;1300.0;732.0;64.0
Flamengo;2;1;0;67;2700.0;870.0;123.0
Curicica;2;1;0;50;1100.0;400.0;100.0
Campo Grande;3;1;0;65;750.0;350.0;0.0
Braz de Pina;2;1;0;55;1000.0;280.0;0.0
Méier;2;0;0;56;799.0;402.0;135.0
Flamengo;2;0;0;65;1850.0;910.0;97.0
Freguesia (Jacarepaguá);2;1;0;60;1100.0;280.0;15.0
Vila da Penha;2;0;0;55;1000.0;210.0;0.0
Jacarepaguá;2;1;1;63;2500.0;604.0;59.0
Recreio dos Bandeirantes;2;1;1;68;1500.0;788.0;136.0
Portuguesa;3;1;0;60;1300.0;388.0;220.0
Barra da Tijuca;2;0;1;58;1500.0;650.0;0.0
Turiaçu;2;1;0;52;600.0;150.0;0.0
Cachambi;2;1;0;48;800.0;550.0;13.0
Campo Grande;2;1;0;55;600.0;250.0;0.0
Vila Isabel;2;1;0;69;1500.0;640.0;53.0
Engenho Novo;2;1;0;68;800.0;534.0;0.0
Bangu;2;1;0;50;750.0;280.0;0.0
Tijuca;2;0;0;66;1650.0;545.0;0.0
Riachuelo;2;0;0;62;900.0;360.0;16.0
Pechincha;2;1;0;64;1700.0;650.0;592.0
Recreio dos Bandeirantes;2;1;1;68;1400.0;1020.0;188.0
Campinho;2;0;0;62;700.0;428.0;0.0
São Cristóvão;2;0;0;60;1000.0;340.0;20.0
Campo Grande;3;0;0;65;850.0;250.0;0.0
Itanhangá;2;0;0;58;1000.0;630.0;33.0
Cachambi;2;0;0;53;1000.0;410.0;0.0
Cachambi;2;1;0;62;900.0;600.0;0.0
Campo Grande;2;0;0;50;600.0;300.0;0.0
Vila Isabel;2;1;0;60;1200.0;190.0;0.0
Recreio dos Bandeirantes;2;2;2;61;1500.0;820.0;0.0
Jacarepaguá;2;1;0;58;1500.0;491.0;25.0
Vila Isabel;2;1;1;68;1500.0;700.0;68.0
Estácio;3;0;0;64;1100.0;578.0;13.0
Campo Grande;2;1;0;55;800.0;220.0;0.0
Riachuelo;2;0;0;56;1000.0;623.0;0.0
Campinho;2;1;0;48;1000.0;383.0;0.0
Engenho Novo;2;1;0;51;1000.0;514.0;16.0
Itanhangá;2;0;0;58;1000.0;476.0;32.0
Pechincha;2;1;0;51;1200.0;601.0;135.0
São Cristóvão;2;1;0;60;1600.0;485.0;0.0
Engenho Novo;2;1;1;55;1100.0;478.0;15.0
Barra da Tijuca;2;1;0;50;1200.0;667.0;55.0
Recreio dos Bandeirantes;2;1;1;68;1800.0;764.0;960.0
Barra da Tijuca;2;1;1;69;2500.0;950.0;70.0
Barra da Tijuca;2;1;1;65;2800.0;960.0;150.0
Santa Cruz;2;1;0;58;650.0;250.0;0.0
Campo Grande;2;1;1;50;1200.0;400.0;0.0
Recreio dos Bandeirantes;2;0;0;60;1500.0;571.0;0.0
Recreio dos Bandeirantes;2;1;1;65;1700.0;560.0;0.0
Méier;2;1;0;65;1420.0;430.0;135.0
Irajá;2;1;0;55;850.0;100.0;0.0
Piedade;2;0;0;65;1000.0;150.0;0.0
Abolição;2;0;0;50;1000.0;250.0;0.0
Campo Grande;2;1;0;54;650.0;250.0;0.0
Lins de Vasconcelos;2;1;0;57;750.0;511.0;13.0
Barra da Tijuca;2;1;1;60;2000.0;950.0;398.0
Taquara;2;1;0;53;950.0;360.0;0.0
Barra da Tijuca;2;1;1;55;1900.0;600.0;102.0
Botafogo;2;1;0;65;2600.0;700.0;85.0
Curicica;2;1;0;51;1100.0;110.0;0.0
Vila Isabel;2;1;0;60;1200.0;320.0;0.0
Vila Isabel;2;0;0;52;1200.0;442.0;0.0
Quintino Bocaiúva;2;1;0;60;1100.0;130.0;0.0
Pechincha;2;1;1;60;1100.0;550.0;40.0
Pilares;3;0;0;65;1200.0;350.0;0.0
Bonsucesso;2;0;0;60;1000.0;110.0;39.0
Cachambi;3;1;0;55;800.0;480.0;36.0
Cordovil;2;0;0;55;800.0;210.0;0.0
Rocha;2;1;0;60;1300.0;300.0;17.0
Campo Grande;2;1;0;45;570.0;260.0;0.0
Barra da Tijuca;2;1;1;66;1800.0;807.0;71.0
Praça Seca;2;0;0;60;850.0;480.0;0.0
Penha Circular;2;0;0;60;750.0;100.0;0.0
Copacabana;2;1;0;67;2200.0;861.0;110.0
Piedade;2;0;0;50;900.0;256.0;15.0
Tijuca;2;1;0;58;1650.0;890.0;690.0
Tijuca;2;1;0;60;1500.0;585.0;0.0
Botafogo;2;0;0;65;1800.0;638.0;75.0
Jacarepaguá;2;1;1;63;1300.0;580.0;98.0
