Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Méier;3;0;0;60;1000.0;120.0;15.0
Botafogo;2;1;0;65;1900.0;600.0;102.0
Pechincha;2;1;0;49;790.0;410.0;0.0
Freguesia (Jacarepaguá);2;1;1;60;1700.0;560.0;72.0
Grajaú;2;1;1;60;1100.0;750.0;96.0
Praça da Bandeira;2;0;0;57;1700.0;604.0;51.0
Copacabana;2;1;0;64;1800.0;697.0;0.0
Recreio dos Bandeirantes;3;1;1;69;1500.0;780.0;187.0
Camorim;2;1;1;60;1400.0;510.0;0.0
Vista Alegre;2;0;0;60;700.0;210.0;0.0
Pechincha;2;1;1;69;1400.0;499.0;125.0
São Francisco Xavier;2;1;1;58;1000.0;603.0;35.0
Praça Seca;2;1;1;65;1000.0;515.0;0.0
Campo Grande;2;1;0;50;600.0;330.0;0.0
Jacarepaguá;2;1;0;60;1500.0;380.0;0.0
Leme;2;0;0;64;2000.0;1100.0;0.0
Laranjeiras;2;1;0;55;1800.0;1050.0;97.0
Campo Grande;2;1;0;65;500.0;300.0;0.0
São Cristóvão;2;1;1;55;1900.0;575.0;0.0
Recreio dos Bandeirantes;3;1;1;58;1500.0;703.0;0.0
Freguesia (Jacarepaguá);2;0;0;58;900.0;445.0;0.0
Campo Grande;2;1;0;65;1000.0;338.0;0.0
Campinho;2;1;1;60;1500.0;550.0;0.0
Campo Grande;2;1;0;48;790.0;280.0;0.0
Pechincha;2;1;1;60;1100.0;656.0;16.0
Campo Grande;2;0;0;47;800.0;60.0;0.0
Camorim;3;2;2;64;1700.0;968.0;0.0
Campo Grande;2;1;0;50;1100.0;350.0;0.0
Barra da Tijuca;2;1;0;65;1300.0;760.0;120.0
Méier;3;1;0;66;1300.0;367.0;0.0
Tijuca;2;1;0;66;2200.0;712.0;65.0
Irajá;2;0;0;50;1000.0;260.0;0.0
Curicica;2;1;0;47;1400.0;550.0;120.0
Laranjeiras;2;0;0;67;1900.0;760.0;124.0
Jacarepaguá;2;1;0;61;1700.0;550.0;130.0
Barra da Tijuca;2;1;1;62;2700.0;1269.0;212.0
Barra da Tijuca;2;2;1;65;2200.0;1200.0;120.0
Campo Grande;2;0;0;55;800.0;350.0;2.0
Taquara;2;1;0;63;1100.0;481.0;0.0
Irajá;2;1;0;54;1400.0;370.0;0.0
Vargem Pequena;3;1;0;54;1200.0;390.0;28.0
Barra da Tijuca;2;1;0;60;1300.0;704.0;0.0
Copacabana;2;0;0;56;2300.0;767.0;130.0
Bangu;2;1;0;60;1000.0;200.0;0.0
Gávea;2;1;1;68;2990.0;882.0;137.0
Ipanema;2;0;0;60;2900.0;507.0;125.0
Campo Grande;2;1;0;50;700.0;300.0;0.0
